Referencia;ReferenciaLosa;ReferenciaLosaBloqueo;Uso;ModoDeInstalación;Fabricante;Modelo;Ancho;GROSOR;longitud;Rotación;Reserva;NCapa;HCapa;NombreDelLocal;Forma;CargaMáx;OrdenLosa;RadioCurvatura;Puntos;NombreDelLocalLosa
7413774;;1;LV1B;;;KSBE_E_Ladder_FRP_Horizontal_Bend;;102;;;;;;;0;;;;169.979 7.968 140.678|169.378 7.367 140.678;
18307569;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;150;102;;;;;;;0;;;;176.886 3.721 136.939|176.813 3.721 136.939;
18307562;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;150;102;;;;;;;0;;;;177.262 2.441 136.939|177.262 3.345 136.939;
18307466;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;150;102;;;;;;;0;;;;175.921 2.065 136.939|176.886 2.065 136.939;
18307002;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;150;102;;;;;;;0;;;;174.656 2.065 131.030|175.217 2.065 131.030;
18306859;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;150;102;;;;;;;0;;;;174.280 2.441 131.030|174.280 4.189 131.030;
18306680;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;150;102;;;;;;;0;;;;173.904 4.565 131.030|173.775 4.565 131.030;
18306045;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;150;102;;;;;;;0;;;;175.569 2.065 136.587|175.569 2.065 131.382;
18279184;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;100;102;;;;;;;0;;;;151.224 1.843 126.267|151.224 2.255 126.267;
18278922;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;100;102;;;;;;;0;;;;151.575 1.492 126.267|153.164 1.492 126.267;
18277757;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;100;102;;;;;;;0;;;;151.375 1.492 119.267|153.164 1.492 119.267;
18277740;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;100;102;;;;;;;0;;;;151.224 0.810 119.267|151.224 1.341 119.267;
18269895;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;100;102;;;;;;;0;;;;150.937 2.406 130.116|151.045 2.406 130.303;
18269733;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;100;102;;;;;;;0;;;;150.916 2.406 130.037|150.916 2.406 126.421;
18269568;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;100;102;;;;;;;0;;;;150.937 2.406 131.090|151.045 2.406 130.903;
18269331;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;100;102;;;;;;;0;;;;151.224 0.658 126.115|151.224 0.658 119.419;
18269303;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;100;102;;;;;;;0;;;;151.224 0.810 126.267|151.224 1.141 126.267;
18269249;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;100;102;;;;;;;0;;;;151.073 2.406 126.267|151.070 2.406 126.267;
18269067;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;100;102;;;;;;;0;;;;151.066 2.406 130.381|151.066 2.406 130.824;
18268663;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;100;102;;;;;;;0;;;;150.916 2.406 136.787|150.916 2.406 131.168;
18268622;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;100;102;;;;;;;0;;;;151.512 2.406 136.939|151.068 2.406 136.939;
18263400;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;300;102;;;;;;;0;;;;176.058 7.592 153.960|176.058 2.924 153.960;
17447628;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;900;102;;;;;;;0;;;;175.841 4.629 136.939|175.080 5.390 136.939;
17447621;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;900;102;;;;;;;0;;;;174.860 6.249 136.939|174.860 5.922 136.939;
17447461;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;600;102;;;;;;;0;;;;176.141 2.940 140.678|176.141 2.987 140.678;
17446743;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;150;102;;;;;;;0;;;;176.062 2.940 143.446|176.062 3.095 143.446;
17446491;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;100;102;;;;;;;0;;;;172.578 2.995 143.446|172.578 3.120 143.446;
17446175;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;450;102;;;;;;;0;;;;176.062 2.416 150.340|176.062 2.469 150.340;
17445758;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;100;102;;;;;;;0;;;;176.170 3.363 161.266|176.185 3.378 161.266;
17445489;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;450;102;;;;;;;0;;;;176.058 2.416 157.476|176.058 2.477 157.476;
17445345;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;100;102;;;;;;;0;;;;176.067 2.930 161.266|176.067 3.114 161.266;
17337707;;1;LV1B;;;KSBE_E_HDG_LADDER_UL/LN/ST;900;100;;;;;;;0;;;;174.860 15.369 136.587|174.860 14.787 136.587;
16880149;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;150;102;;;;;;;0;;;;169.900 7.712 153.960|169.630 7.712 153.960;
16879890;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;900;102;;;;;;;0;;;;174.860 9.759 136.939|174.860 10.328 136.939;
16879869;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;900;102;;;;;;;0;;;;174.860 8.857 136.939|174.860 7.451 136.939;
14351995;;1;LV1B;;;KSBE_E_HDG_LADDER_UL/LN/ST;900;100;;;;;;;0;;;;196.945 41.405 144.699|196.945 41.405 143.352;
14351681;;1;LV1B;;;KSBE_E_HDG_LADDER_UL/LN/ST;900;100;;;;;;;0;;;;196.945 18.968 145.050|196.945 41.054 145.050;
14351492;;1;LV1B;;;KSBE_E_HDG_LADDER_UL/LN/ST;900;100;;;;;;;0;;;;200.598 58.880 143.352|200.598 58.880 144.699;
14340193;;1;LV1B;;;KSBE_E_HDG_LADDER_UL/LN/ST;900;100;;;;;;;0;;;;196.945 41.756 143.001|196.945 42.534 143.001;
14339633;;1;LV1B;;;KSBE_E_HDG_LADDER_UL/LN/ST;900;100;;;;;;;0;;;;196.725 43.066 143.001|196.156 43.635 143.001;
14339481;;1;LV1B;;;KSBE_E_HDG_LADDER_UL/LN/ST;900;100;;;;;;;0;;;;195.935 44.167 143.001|195.935 58.129 143.001;
14339479;;1;LV1B;;;KSBE_E_HDG_LADDER_UL/LN/ST;900;100;;;;;;;0;;;;196.686 58.880 143.001|200.247 58.880 143.001;
13953989;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;300;102;;;;;;;0;;;;167.922 9.392 136.939|160.493 9.392 136.939;
13953944;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;100;102;;;;;;;0;;;;160.142 10.233 136.939|160.142 9.843 136.939;
13953771;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;300;102;;;;;;;0;;;;156.253 9.392 136.939|159.791 9.392 136.939;
13953112;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;300;102;;;;;;;0;;;;168.242 9.260 136.939|168.741 8.760 136.939;
13952721;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;300;102;;;;;;;0;;;;152.114 9.392 136.939|155.551 9.392 136.939;
13951659;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;100;102;;;;;;;0;;;;151.663 8.491 136.939|151.663 2.557 136.939;
13950399;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;100;102;;;;;;;0;;;;174.464 10.179 161.266|175.937 10.179 161.266;
13950179;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;100;102;;;;;;;0;;;;174.113 8.231 161.266|174.113 9.828 161.266;
13949688;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;100;102;;;;;;;0;;;;156.023 8.056 157.316|156.023 8.056 154.312;
13949687;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;100;102;;;;;;;0;;;;156.023 8.787 157.668|156.023 8.408 157.668;
13949686;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;100;102;;;;;;;0;;;;156.374 9.138 157.668|157.236 9.138 157.668;
13949404;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;100;102;;;;;;;0;;;;156.374 5.103 153.960|164.252 5.103 153.960;
13949395;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;100;102;;;;;;;0;;;;156.023 7.704 153.960|156.023 5.454 153.960;
13949380;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;100;102;;;;;;;0;;;;164.603 7.361 153.960|164.603 5.454 153.960;
13799591;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;900;102;;;;;;;0;;;;174.860 11.032 136.122|174.860 11.187 136.122;
13798940;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;300;102;;;;;;;0;;;;169.061 8.627 136.939|171.784 8.627 136.939;
13798166;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;300;102;;;;;;;0;;;;172.104 8.760 136.939|172.519 9.175 136.939;
13797936;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;100;102;;;;;;;0;;;;155.902 9.843 136.939|155.902 10.233 136.939;
13794504;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;300;102;;;;;;;0;;;;174.109 9.308 136.939|172.839 9.308 136.939;
13793268;;1;LV1B;;;KSBE_E_FRP_LADDER_ITLM-SS;900;102;;;;;;;0;;;;174.860 10.680 136.587|174.860 10.680 136.474;
13792932;;1;LV1B;;;KSBE_E_HDG_LADDER_UL/LN/ST;900;100;;;;;;;0;;;;174.860 11.287 136.127|174.860 14.545 136.127;
13792620;;1;LV1B;;;KSBE_E_HDG_LADDER_UL/LN/ST;900;100;;;;;;;0;;;;174.860 14.666 136.466|174.860 14.666 136.248;
13782609;;1;LV1B;;;KSBE_E_HDG_LADDER_UL/LN/ST;900;100;;;;;;;0;;;;182.458 16.120 136.587|175.611 16.120 136.587;
